
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="short_run_base",="short_run_p20",="short_run_p50",="short_run_log_base",="short_run_log_20",="short_run_log_50",="short_run_base_norm",="short_run_base_20",="short_run_base_50",="long_run_base",="long_run_p20",="long_run_p50",="long_run_base_log",="long_run_p20_log",="long_run_p50_log"

="_cons",="0.00193",="0.00336",="0.00267",="0.533",="0.364",="0.419",="1.276***",="0.576***",="0.920***",="0.871",="0.856",="0.905",="0.821",="0.716",="0.777"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(25.38)",="(24.59)",="(24.86)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="N",="1304",="1304",="1304",="1304",="1304",="1304",="1304",="1282",="1304",="118",="118",="118",="118",="118",="118"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
